countrynewwb,year,account_t_d,pop_adult,mobileaccount_t_d,internet,Predicted_Adoption
Switzerland,2014,0.979856449,6883205.0,,,0.03122304336779792
"Taiwan, China",2014,0.913763199,19968635.0,,,0.012456547353825821
Tajikistan,2014,0.114592329,5217089.0,0.0,,0.01755106337
Tanzania,2014,0.397794763,26884351.0,0.323586983,,0.32368648897999974
Thailand,2014,0.781365538,56707280.0,0.013012658,,0.015396254640000002
Togo,2014,0.18251463,4254423.0,0.014100388,,0.030719395716415944
Tunisia,2014,0.274323115,8426960.0,0.006187012,,0.011912237870000016
Turkiye,2014,0.566774866,57336171.0,0.008081998,,0.1127119843399999
Uganda,2014,0.444471544,18082753.0,0.351003784,,0.29376386745999983
Ukraine,2014,0.527148134,39385204.0,,,0.13319777004000014
United Arab Emirates,2014,0.837433269,6398423.0,0.114909874,,0.0772579522947652
United Kingdom,2014,0.989310548,52712003.0,,,0.025841041699060662
United States,2014,0.935838008,254715188.0,,,0.017730086120000002
Uruguay,2014,0.455857273,2625287.0,0.012334332,,0.021162019760000005
Uzbekistan,2014,0.407100129,21374576.0,,,0.12925732800000014
"Venezuela, RB",2014,0.570263255,21274157.0,0.029790692,,0.032804898800000044
Viet Nam,2014,0.309509468,68893679.0,0.004965069,,0.00830387657000001
West Bank and Gaza,2014,0.242438057,2416583.0,,,0.08557772386999994
"Yemen, Rep.",2014,0.064484819,16904246.0,,,0.09373371375000004
Zambia,2014,0.356448713,8358295.0,0.121143072,,0.16370759655641604
Zimbabwe,2014,0.323892494,7862617.0,0.215955208,,0.17247174376000016
Afghanistan,2017,0.148933122,18807229.0,0.009138161,,0.10548053471999998
Albania,2017,0.400151702,2340965.0,0.02377762,,0.06842398349999992
Algeria,2017,0.427766256,28799702.0,,,0.08792863007000008
Argentina,2017,0.487084867,33036043.0,0.024161674,,0.09145161356000005
Armenia,2017,0.477590178,2384230.0,0.09755307,,0.15593241736000002
Australia,2017,0.995193731,19621820.0,,,0.21617246884000024
Austria,2017,0.981636643,7481549.0,,,0.22212274140000024
Azerbaijan,2017,0.285712045,7438923.0,,,0.18587960576000012
Bahrain,2017,0.826128502,1137724.0,,,0.16789977164999997
Bangladesh,2017,0.50046913,111658076.0,0.212459589,,0.1776277622700001
Belarus,2017,0.81155885,7909969.0,,,0.2509117888800001
Belgium,2017,0.986383226,9407055.0,,,0.20432072793000014
Benin,2017,0.384892214,6631280.0,0.180938376,,0.1828881881500001
Bolivia,2017,0.544050565,7571421.0,0.071193898,,0.10991871664000005
Bosnia and Herzegovina,2017,0.588434987,2982772.0,,,0.2323110217
Botswana,2017,0.510324508,1470809.0,0.243783067,,0.25304747031000013
